Name,Team,Year,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
Kareem Abdul-Jabbar*,LAL,1980,10.2,16.9,.604,0.0,0.0,.000,10.2,16.9,.604,4.4,5.8,.765,2.3,8.5,4.5,1.0,3.4,3.6,2.6,24.8
Tom Abernethy,GSW,1980,2.3,4.7,.481,0.0,0.0,.000,2.3,4.7,.483,0.8,1.2,.683,0.9,1.9,1.3,0.5,0.2,0.6,1.8,5.4
Alvan Adams,PHO,1980,6.2,11.7,.531,0.0,0.0,.000,6.2,11.6,.533,2.5,3.1,.797,2.1,6.0,4.3,1.4,0.7,2.9,3.2,14.9
Tiny Archibald*,BOS,1980,4.8,9.9,.482,0.1,0.2,.222,4.7,9.7,.488,4.5,5.4,.830,0.7,1.7,8.4,1.3,0.1,3.0,2.7,14.1
Dennis Awtrey,CHI,1980,1.0,2.3,.450,0.0,0.0,,1.0,2.3,.450,1.2,1.9,.640,1.1,3.3,1.5,0.5,0.6,1.0,2.5,3.3
Gus Bailey,WSB,1980,0.8,1.8,.457,0.1,0.1,1.000,0.8,1.7,.441,0.3,0.7,.385,0.3,1.1,1.3,0.4,0.2,0.6,0.9,1.9
James Bailey,SEA,1980,1.8,4.0,.450,0.0,0.0,,1.8,4.0,.450,1.0,1.5,.673,1.1,1.9,0.4,0.3,0.8,1.2,1.7,4.7
Greg Ballard,WSB,1980,6.6,13.4,.495,0.2,0.6,.340,6.5,12.9,.502,2.1,2.8,.753,2.9,4.9,1.9,1.1,0.4,1.6,2.4,15.6
Mike Bantom,IND,1980,5.0,9.9,.505,0.0,0.0,.333,5.0,9.8,.506,1.8,2.7,.665,2.5,3.4,3.6,1.1,0.6,2.5,3.5,11.8
Marvin Barnes,SDC,1980,1.2,3.0,.400,0.0,0.0,,1.2,3.0,.400,0.8,1.6,.500,1.7,2.2,0.9,0.3,0.6,0.9,2.6,3.2
Rick Barry*,HOU,1980,4.5,10.7,.422,1.0,3.1,.330,3.5,7.6,.458,2.0,2.1,.935,0.7,2.5,3.7,1.1,0.4,2.1,2.5,12.0
Tim Bassett,TOT,1980,1.0,2.8,.353,0.0,0.0,,1.0,2.8,.353,0.8,1.3,.667,0.9,1.8,1.2,0.7,0.0,0.8,2.3,2.8
Billy Ray Bates,POR,1980,4.5,9.1,.493,0.5,1.2,.421,4.0,7.9,.504,1.8,2.4,.718,0.8,1.0,1.9,0.9,0.1,1.3,1.6,11.3
Ron Behagen,WSB,1980,1.5,3.8,.391,0.0,0.0,,1.5,3.8,.391,0.8,1.0,.833,1.0,1.3,1.2,0.0,0.7,0.7,2.3,3.8
