,Team,predictions,prediction probability,Conf
0,Chicago Bulls,1,0.8801924603174606,East
1,Orlando Magic,0,0.08164021164021164,East
2,Cleveland Cavaliers,1,0.5237119708994707,East
3,Washington Wizards,1,0.9524156746031746,East
4,Toronto Raptors,0,0.4414434523809526,East
5,Philadelphia 76ers,1,0.9572222222222221,East
6,New York Knicks,1,0.8007013888888888,East
7,Indiana Pacers,0,0.2489021164021164,East
8,Boston Celtics,1,0.9253591269841273,East
9,Miami Heat,1,0.8839146825396822,East
10,Detroit Pistons,0,0.04837896825396826,East
11,Brooklyn Nets,1,0.8281795634920638,East
12,Atlanta Hawks,1,0.8789464285714286,East
13,Milwaukee Bucks,1,0.934441738816739,East
14,Charlotte Hornets,1,0.866970238095238,East
0,Sacramento Kings,0,0.13536701635782522,West
1,Utah Jazz,1,0.9515858787182316,West
2,Houston Rockets,0,0.10688213406963407,West
3,New Orleans Pelicans,0,0.0420847636840284,West
4,Denver Nuggets,1,0.595147068073539,West
5,Phoenix Suns,1,0.9790401578949375,West
6,Dallas Mavericks,1,0.7836069983257485,West
7,Los Angeles Clippers,1,0.7674068684583392,West
8,Memphis Grizzlies,1,0.6908691305469559,West
9,San Antonio Spurs,0,0.41151464818792616,West
10,Minnesota Timberwolves,0,0.4648817006401173,West
11,Oklahoma City Thunder,0,0.11154924478328115,West
12,Los Angeles Lakers,1,0.6486537964386258,West
13,Portland Trail Blazers,1,0.7262011399225993,West
14,Golden State Warriors,1,0.9366673647022908,West
